,사업장명,지역(구)
702,리얼타임 피트니스,중랑구
703,BODY EFFECT,중랑구
704,더바른핏,중랑구
705,스트롱라인 면목점,중랑구
706,크로스핏 파무짐,중랑구
707,닥터바디짐,중랑구
708,토니바디PT,중랑구
709,트러스트짐,성북구
710,라몬 GYM,성북구
711,건강한 정릉,성북구
712,GO TO URBAN,성북구
713,로아짐(LOA GYM),성북구
714,엠에프짐(MF GYM),성북구
715,짐포레스트,성북구
716,멋GYM휘트니스(성북월곡점),성북구
717,BM 휘트니스클럽,성북구
718,플러스 휘트니스클럽,성북구
719,월곡건강랜드,성북구
720,청마스포츠클럽,성북구
721,바른운동센터,성북구
722,1% 퍼스널 트레이닝,성북구
723,3F 퍼스널 트레이닝,성북구
724,한성패스트짐,성북구
725,더블엠 헬스케어,성북구
726,시티짐 시그니처,성북구
727,이엑스 휘트니스,성북구
728,휘트니스인앤필라테스인,성북구
729,비타민 휘트니스클럽,성북구
730,블랙멀티짐,성북구
731,ICWC 벨로드롬,성북구
732,새마을휘트니스,성북구
733,파워라인 휘트니스 클럽,성북구
734,제로짐,성북구
735,커브스 길음클럽,성북구
736,스포웰짐 월곡점,성북구
737,H.M.A.C (HUMAN MOVEMENT ACTIVATION CENTER),성북구
738,월드헬스클럽,성북구
739,업타운 휘트니스,성북구
740,스마일 헬스,성북구
741,오라쁘띠휘트니스센터,성북구
742,블랙멀티짐,성북구
743,S&S,성북구
744,커브스 종암클럽,성북구
745,시티짐 필라테스&골프,성북구
746,휘트니스베이24시 석관점,성북구
747,JM휘트니스클럽,성북구
748,서울레저프라자(주),성북구
749,짐타운,성동구
750,에너메카 휘트니스,성북구
751,동호헬스,성북구
752,시티짐 119종암,성북구
753,오렌지휘트니스,성북구
754,플러스 휘트니스 클럽,성북구
755,워너비 짐,성북구
756,백퍼센트짐,성북구
757,돈암헬스,성북구
758,올리브짐,성북구
759,TLC휘트니스센타,성북구
760,투웬티핏,성북구
761,챠밍여성헬스,성북구
762,동아헬스클럽,성북구
763,한스남여헬스타운,성북구
764,안암헬스,성북구
765,암스트롱,성북구
766,에이블짐 돈암점,성북구
767,스타짐 정릉,성북구
768,크로스에듀테크(주),성북구
769,탐휘트니스 길음,성북구
770,솜솜 스포츠,성북구
771,커브스 월계클럽,성북구
772,헤드온 피트니스(Head on Fitness),성북구
773,슬림라인 휘트니스,성북구
774,주식회사 피트니스101,성북구
775,닥터스트렝스,성북구
776,GYM-H,성북구
777,바카티오 플레이스,성북구
778,샤크짐2호점,성북구
779,ARDIEM PT,성북구
780,업타운 휘트니스 돌곶이점,성북구
781,핏플랜,성북구
782,에이티엘(ATL),성북구
783,이너라인GYM 월곡점,성북구
784,노바디짐,성북구
785,당신만의 체인지,성북구
786,본피트니스,성북구
787,크로스핏로꼬,성북구
788,투(2J fitness)돈암체육관,성북구
789,스마일 보이짐,성북구
790,당신의 PT,성북구
791,웨일 미아점,강북구
792,워싱턴짐,강서구
793,피트니스 베네핏,강북구
794,부스터짐,강북구
795,빌리프짐 수유점,강북구
796,라이프 플러스 휘트니스,강북구
797,데일리P.T샵,강북구
798,머슬엑스짐,강북구
799,더 굿핏(The Goodfit),강북구
800,삼양사거리점 스포애니 (주)케이디스포츠,강북구
801,에스핏휘트니스 수유점,강북구
802,더바른 휘트니스,강북구
803,뉴파워짐 수유역지점,강북구
804,더 퍼스트짐,강북구
805,알앤엘,강북구
806,라인짐2호점,강북구
807,714GYM,광진구
808,아크로짐,강북구
809,소울 휘트니스,강북구
810,고릴라멀티짐,강북구
811,수유역점 스포애니 주)케이디스포츠,강북구
812,데일리짐&PT 봉천점,관악구
813,열정PT,강북구
814,플로리다 피트니스,강북구
815,삼각산 헬스타운,강북구
816,에너메카,강북구
817,가인,강북구
818,현대 휘트니스,강북구
819,Double 휘트니스 클럽,강북구
820,노블휘트니스클럽,강북구
821,휘트니스피플 우먼 수유점,강북구
822,범 휘트니스,강북구
823,FUN 휘트니스,강북구
824,M 휘트니스,강북구
825,이성현 퍼스널 트레이닝,강북구
826,피트니스팩토리 24,강북구
827,스카이휘트니스,강북구
828,피티밤,동대문구
829,국제헬스클럽,강북구
830,업타운 휘트니스,강북구
831,모어핏,송파구
832,체대입시 FA,강북구
833,삼손헬스,송파구
834,바디컨펌,도봉구
835,에이트 피티 스튜디오,도봉구
836,핏오짐,도봉구
837,홍짐,도봉구
838,라이프플러스휘트니스,도봉구
839,백곰 짐,도봉구
840,리케어짐,도봉구
841,트렌디바디,도봉구
842,N 피티짐,도봉구
843,아레나 피트니스,도봉구
844,에스짐,도봉구
845,펀 휘트니스,도봉구
846,커브스 창동클럽,도봉구
847,핏걸(방학점),도봉구
848,제이케이핏,도봉구
849,Agym 쌍문점,도봉구
850,엠엠핏(MMFIT),도봉구
851,수 골프 앤 짐,도봉구
852,핏오짐4,도봉구
853,FIT 36.5,도봉구
854,헬스장,도봉구
855,핏오짐 fitohGym,도봉구
856,아이언휘트니스2호점,도봉구
857,휴먼(HUMAN)휘트니스,도봉구
858,바디스토리짐,도봉구
859,광동헬스사우나,도봉구
860,O2 Zone 헬스,도봉구
